'ID';'НАЗВАНИЕ';'СТУДИЯ';'ГОД ПРОИЗВОДСТВА';'РЕЖИССЁР';'СЦЕНАРИСТ';'ОПЕРАТОР';'ВОЗРАСТНАЯ КАТЕГОРИЯ';'ЖАНР';'СТРАНА';'КАТЕГОРИЯ';'ЦЕНА';'СЕБЕСТОИМОСТЬ';'СТАТУС'
'2163415';'Моя большая испанская семья';'Атипика Филмз, Мод Продюсьонес, Антена 3 Филмз, Атресмедиа Сине';'2013';'Даниэль Санчес Аревало';'Даниэль Санчес Аревало';'Хуан Карлос Гомес';'«16+» для детей старше 16 лет';'Художественный';'Испания';'Кино';'462.0';'330.0';'o'
'2163416';'ЧВС. Наследие';'ООО "Единая Медиа Группа"';'2013';'Ю.Ручкин';'П.Селин';'Д.Драновский, О.Фомичев, А.Пчеловодов';'«12+» для детей старше 12 лет';'Прочие';'Россия';'Видео';'585.0';'450.0';'o'
'2163417';'Планета Вавилон. Хроники великой рецессии';'ООО "Единая Медиа Группа"';'2013';'В.Сергеева';'К.Семин';'К.Семин, О.Сергеев';'«12+» для детей старше 12 лет';'Прочие';'Россия';'Видео';'370.0';'285.0';'o'
'2163418';'Российский Дед Мороз';'ООО "Аватар фильм"';'2011';'Т.Рахманова';'А.Сивушов';'О.Шуваев';'«6+» для детей старше шести лет';'Документальный';'Россия';'Видео';'450.0';'375.0';'o'
'2163419';'Рюрик. Потерянная быль';'ООО "Гранд Трейд"';'2012';'Ю.Ермолина (псевдоним Юлия Галкина)';'Ю.Ермолина (псевдоним Юлия Галкина)';'Д.Курицын';'«6+» для детей старше шести лет';'Научно-популярный';'Россия';'Видео';'600.0';'500.0';'o'
'2163420';'Война миров Z';'Парамаунт, План Би Интертейнмент, Аппаратас Продакшнз, ДжиКейФилмз, Латина Пикчерз, Скайдэнс Продакшнз';'2013';'Марк Форстер';'Мэтью Майкл Карнахан, Дрю Годдард, Дэймон Линделоф';'Бен Сересин';'«12+» для детей старше 12 лет';'Художественный';'США|Мальта';'Кино';'702.0';'585.0';'o'
'2163421';'Ильнар Сайфиев "Гомернен мизгеллэре" (Ильнар Сайфиев "Моменты жизни")';'ООО "Барс-Рекордс"';'2013';'';'';'Д.Барышев, Р.Габидуллин, Т.Садыков';'«12+» для детей старше 12 лет';'Прочие';'Россия';'Видео';'480.0';'400.0';'e'
'2163422';'Легенда для оперши. 1 - 4 серии';'ООО "Триикс Медиа"';'2013';'И.Копылов';'В.Рыжков, М.Факторович, В.Кочков, М.Ошмянская';'Д.Масс';'«16+» для детей старше 16 лет';'Художественный';'Россия';'Видео';'528.0';'440.0';'o'
'2163423';'Зеркала.';'ООО "СинеЛаб Продакшн"';'2013';'М.Мигунова';'Ю.Арабов, А.Саркисян';'С.Мачильский';'«16+» для детей старше 16 лет';'Художественный';'Россия';'Кино';'588.0';'490.0';'e'
'2163424';'50 хит (50 хитов)';'ООО "Барс-Рекордс"';'2013';'';'';'Д.Барышев, Р.Габидуллин, Т.Садыков';'«12+» для детей старше 12 лет';'Прочие';'Россия';'Видео';'430.0';'331.0';'o'
'2163425';'Зур концерт (Большой концерт) 2013';'ООО "Барс-Рекордс"';'2013';'';'';'Д.Барышев, Р.Габидуллин, Т.Садыков';'«12+» для детей старше 12 лет';'Прочие';'Россия';'Видео';'636.0';'455.0';'e'
'2163426';'Камилла Клодель.';'ЗБэ Продюксьон, Арт Франс Синема, Сэ Эр Эр А Вэ Норд Па де Кале, Канал +';'2013';'Брюно Дюмон';'Брюно Дюмон';'Гийом Дефонтен';'«16+» для детей старше 16 лет';'Художественный';'Франция';'Кино';'456.0';'380.0';'o'
'2163427';'Притворись моим парнем';'Европа Корпорейшн, Тэ Эф 1 Фильм Продюксьон, Эхо Фильм, Сине +, Канал +';'2013';'Давид Моро';'Давид Моро, Амро Хамзави';'Лорен Танги';'«16+» для детей старше 16 лет';'Художественный';'Франция';'Кино';'570.0';'407.0';'o'
'2163428';'Фред 2: Ночь живых с Фредом';'Лайонс Гейт, Коллектив, Варсити Пикчерз';'2011';'Джон Фортенберри';'Дэвид А.Гудман';'';'«12+» для детей старше 12 лет';'Художественный';'США';'Видео';'300.0';'214.0';'e'
'2163429';'Опасное обольщение';'Санфильм Интертейнмент, Лайонс Гейт Филмз';'2010';'Уолтер Донер';'Эрик Эрнандес';'';'«18+» запрещено для детей';'Художественный';'Мексика';'Видео';'828.0';'637.0';'o'
'2163430';'Лучшие друзья и ребенок';'Стардаст Пикчерз, Дут Дут Дут Продакшнз, Филмз Ве Лайк, Лайонс Гейт филмз';'2011';'Кэт Койро';'Кэт Койро, Кристен Риттер';'';'«16+» для детей старше 16 лет';'Художественный';'США|Канада';'Видео';'540.0';'386.0';'o'
'2163431';'Государственная защита - 3';'ООО "Студия "Панорама"';'2013';'А.Дзоциев';'М.Езупов (псевдоним М.Есаулов), А.Романов';'Т.Искяндаров, Г.Климов';'«16+» для детей старше 16 лет';'Художественный';'Россия';'Видео';'600.0';'429.0';'e'
'2163432';'Москва. Три вокзала - 6.';'ООО "Центр кинопроизводства"';'2013';'Н.Денисов, М.Илюхин';'М.Езупов, Г.Кондратьев, В.Казаринов и др.';'О.Ихлов';'«16+» для детей старше 16 лет';'Художественный';'Россия';'Видео';'352.0';'271.0';'o'
